Date/Time | Changes | Definitely Lost | Indirectly Lost | Still Reachable | LogFile
2024-01-10 17:20:16 | test | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___error__r__outfile.log
2024-01-10 17:20:16 | test | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__invalid__outfile.log
2024-01-10 17:20:16 | test | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__r__outfile.log
2024-01-10 17:20:16 | test | | | 101 bytes in 3 blocks | logs/__pipex_infile__cat__invalid___sort__r__outfile.log
2024-01-10 17:20:16 | test | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___NULL__outfile.log
2024-01-10 17:20:16 | test | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat_____outfile.log
2024-01-10 17:20:16 | test | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___sort__outfile.log
2024-01-10 17:20:16 | test | | | 97 bytes in 3 blocks | logs/__pipex_infile__error__e___sort__r__outfile.log
2024-01-10 17:20:16 | test | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___NULL__outfile.log
2024-01-10 17:20:16 | test | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL_____outfile.log
2024-01-10 17:20:16 | test | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___sort__outfile.log
2024-01-10 17:23:22 | new main | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___error__r__outfile.log
2024-01-10 17:23:22 | new main | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__invalid__outfile.log
2024-01-10 17:23:22 | new main | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__r__outfile.log
2024-01-10 17:23:22 | new main | | | 101 bytes in 3 blocks | logs/__pipex_infile__cat__invalid___sort__r__outfile.log
2024-01-10 17:23:22 | new main | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___NULL__outfile.log
2024-01-10 17:23:22 | new main | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat_____outfile.log
2024-01-10 17:23:22 | new main | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___sort__outfile.log
2024-01-10 17:23:22 | new main | | | 97 bytes in 3 blocks | logs/__pipex_infile__error__e___sort__r__outfile.log
2024-01-10 17:23:22 | new main | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___NULL__outfile.log
2024-01-10 17:23:22 | new main | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL_____outfile.log
2024-01-10 17:23:22 | new main | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___sort__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___error__r__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__invalid__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__r__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 101 bytes in 3 blocks | logs/__pipex_infile__cat__invalid___sort__r__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___NULL__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat_____outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___sort__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 97 bytes in 3 blocks | logs/__pipex_infile__error__e___sort__r__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___NULL__outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL_____outfile.log
2024-01-10 17:26:32 | new pipex.c | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___sort__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___error__r__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__invalid__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 95 bytes in 3 blocks | logs/__pipex_infile__cat__e___sort__r__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 101 bytes in 3 blocks | logs/__pipex_infile__cat__invalid___sort__r__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___NULL__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat_____outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 92 bytes in 2 blocks | logs/__pipex_infile__cat___sort__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 97 bytes in 3 blocks | logs/__pipex_infile__error__e___sort__r__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___NULL__outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL_____outfile.log
2024-01-10 17:27:15 | pipex_execution | | | 93 bytes in 2 blocks | logs/__pipex_infile__NULL___sort__outfile.log
